episode,score,duration_sec
1,2950.469,23.290
2,2763.251,21.963
3,2831.662,22.450
4,3500.478,27.103
5,682.025,5.846
6,3394.993,26.381
7,3611.600,27.859
8,2402.014,19.348
9,2635.555,21.047
10,2717.938,21.639
11,3241.982,25.326
12,3794.604,29.094
13,923.853,7.852
14,2622.522,20.953
15,3373.291,26.229
16,3883.426,29.689
17,2515.298,20.176
18,1801.406,14.834
19,2879.216,22.787
20,2913.033,23.026
21,3977.634,30.317
22,2777.830,22.067
23,601.358,5.169
24,3649.975,28.119
25,2540.747,20.361
26,3815.018,29.231
27,2693.809,21.466
28,2772.922,22.032
29,3121.826,24.491
30,3047.277,23.970
31,639.905,5.493
32,2957.710,23.341
33,3781.653,29.007
34,2907.086,22.984
35,4201.526,31.797
36,3130.575,24.552
37,4702.873,35.050
38,4132.566,31.343
39,2682.526,21.385
40,2801.556,22.236
41,2812.943,22.317
42,3572.571,27.594
43,3163.175,24.779
44,2288.507,18.511
45,3130.862,24.554
46,3935.272,30.035
47,554.033,4.770
48,3203.470,25.059
49,3390.187,26.348
50,3606.146,27.822
51,2567.349,20.554
52,2243.760,18.179
53,2885.436,22.831
54,2550.802,20.434
55,3471.780,26.907
56,798.789,6.819
57,3158.144,24.744
58,3452.041,26.772
59,3576.690,27.622
60,2786.669,22.130
61,2540.609,20.360
62,2391.258,19.269
63,2495.250,20.030
64,4306.960,32.488
65,2909.210,22.999
66,2346.152,18.937
67,1691.633,13.986
68,3080.290,24.201
69,2127.504,17.311
70,2791.863,22.167
71,1995.254,16.314
72,3964.104,30.227
73,6249.738,44.610
74,3786.267,29.038
75,3633.287,28.006
76,3002.363,23.655
77,2613.379,20.887
78,3117.954,24.464
79,3092.168,24.284
80,3691.097,28.397
81,3892.256,29.748
82,2867.629,22.705
83,3319.554,25.862
84,3101.761,24.351
85,648.844,5.568
86,2619.612,20.932
87,3643.475,28.075
88,4102.417,31.144
89,650.036,5.578
90,3543.611,27.397
91,2913.175,23.027
92,3982.147,30.347
93,3555.806,27.480
94,2748.688,21.859
95,3221.489,25.184
96,2917.141,23.055
97,3801.307,29.139
98,3659.877,28.186
99,3740.476,28.730
100,2961.119,23.365
