episode,score,duration_sec
1,730.121,6.248
2,938.910,7.976
3,736.838,6.304
4,1036.669,8.776
5,602.169,5.176
6,714.781,6.120
7,1156.907,9.752
8,628.808,5.400
9,621.192,5.336
10,635.476,5.456
11,615.482,5.288
12,627.856,5.392
13,1158.887,9.768
14,723.408,6.192
15,627.856,5.392
16,625.952,5.376
17,594.567,5.112
18,822.523,7.016
19,650.729,5.584
20,619.289,5.320
21,618.337,5.312
22,937.936,7.968
23,619.289,5.320
24,734.919,6.288
25,937.936,7.968
26,612.629,5.264
27,729.162,6.240
28,1188.625,10.008
29,618.337,5.312
30,1019.020,8.632
31,629.761,5.408
32,726.285,6.216
33,739.718,6.328
34,713.823,6.112
35,604.070,5.192
36,727.244,6.224
37,917.497,7.800
38,643.100,5.520
39,597.417,5.136
40,731.081,6.256
41,944.755,8.024
42,951.578,8.080
43,640.241,5.496
44,598.368,5.144
45,603.120,5.184
46,609.775,5.240
47,632.618,5.432
48,613.580,5.272
49,633.571,5.440
50,714.781,6.120
51,644.054,5.528
52,611.677,5.256
53,594.567,5.112
54,597.417,5.136
55,956.454,8.120
56,1146.022,9.664
57,1030.783,8.728
58,942.807,8.008
59,1157.897,9.760
60,628.808,5.400
61,629.761,5.408
62,623.096,5.352
63,716.698,6.136
64,638.335,5.480
65,702.330,6.016
66,598.368,5.144
67,948.654,8.056
68,628.808,5.400
69,1157.897,9.760
70,615.482,5.288
71,609.775,5.240
72,601.219,5.168
73,610.726,5.248
74,808.044,6.896
75,1164.830,9.816
76,1040.594,8.808
77,962.307,8.168
78,1163.839,9.808
79,729.162,6.240
80,637.382,5.472
81,638.335,5.480
82,631.666,5.424
83,957.430,8.128
84,620.240,5.328
85,1163.839,9.808
86,605.021,5.200
87,624.048,5.360
88,718.615,6.152
89,645.007,5.536
90,805.150,6.872
91,708.075,6.064
92,738.758,6.320
93,1164.830,9.816
94,589.818,5.072
95,1165.820,9.824
96,606.922,5.216
97,599.318,5.152
98,958.405,8.136
99,1036.669,8.776
100,935.988,7.952
