episode,score,duration_sec
1,1824.436,15.011
2,1824.436,15.011
3,1823.394,15.003
4,1561.578,12.972
5,1823.525,15.004
6,1824.566,15.012
7,1824.176,15.009
8,1824.697,15.013
9,1823.134,15.001
10,1824.957,15.015
11,1823.785,15.006
12,1824.176,15.009
13,1824.436,15.011
14,1823.655,15.005
15,1823.264,15.002
16,1824.306,15.010
17,1823.394,15.003
18,1823.134,15.001
19,1823.134,15.001
20,1824.957,15.015
21,1823.264,15.002
22,1823.525,15.004
23,1823.915,15.007
24,1825.087,15.016
25,1823.785,15.006
26,1824.827,15.014
27,1823.134,15.001
28,1824.827,15.014
29,1823.524,15.004
30,1825.087,15.016
31,1824.566,15.012
32,1783.867,14.699
33,1823.655,15.005
34,1823.134,15.001
35,1823.264,15.002
36,1027.265,8.699
37,1825.217,15.017
38,1825.087,15.016
39,1824.045,15.008
40,1823.394,15.003
41,1823.134,15.001
42,1824.957,15.015
43,1823.134,15.001
44,1823.394,15.003
45,1823.785,15.006
46,1823.654,15.005
47,1823.915,15.007
48,1823.655,15.005
49,1824.045,15.008
50,1823.785,15.006
